year,type,author,title,field,tag,booktitle,abbr,vol,no,pages,doi
2025,article,"Eduard Baranov, Axel Legay",Baital: Sampling configurable systems with high t-wise coverage,Generation,,Science of Computer Programming,,240,,103209,10.1016/J.SCICO.2024.103209
2025,article,"Pierre Martou, Benoît Duhoux, Kim Mens, Axel Legay",Combinatorial transition testing in dynamically adaptive systems: Implementation and test oracle,Application,,Journal of Systems and Software ,JSS,221,,112260,10.1016/J.JSS.2024.112260
2025,article,"Kambiz Nezami Balouchi, Julien Mercier, Roberto E. Lopez-Herrejon",An exploratory empirical eye-tracker study of visualization techniques for coverage of combinatorial interaction testing in software product lines,Application,,Journal of Systems and Software,JSS,220,,112261,10.1016/J.JSS.2024.112261
2025,article,"Yan Wang, Xintao Niu, Huayao Wu, Changhai Nie, Lei Yu, Xiaoyin Wang, Jiaxi Xu",Top-down: A better strategy for incremental covering array generation,Generation,,Information and Software Technology,IST,178,,107601,10.1016/J.INFSOF.2024.107601
2025,article,"Kamaraj Kanagaraj, Prasath Nithiyanandam, Saradha Sekar, Sangeetha Shanmugam",Combinatorial test case prioritization using hybrid Energy Valley Dwarf Mongoose Optimization approach,Optimization,,Expert Systems with Applications,ESWA,271,,126634,10.1016/J.ESWA.2025.126634
2025,article,"Chuan Luo, Jianping Song, Qiyuan Zhao, Binqi Sun, Junjie Chen, Hongyu Zhang, Jinkun Lin, Chunming Hu",Solving the t-Wise Coverage Maximum Problem via Effective and Efficient Local Search-Based Sampling,,,ACM Transactions on Software Engineering and Methodology ,TOSEM,34,1,13:1-13:64,10.1145/3688836
2025,article,"Dominik Krupke, Ahmad Moradi, Michael Perk, Phillip Keldenich, Gabriel Gehrke, Sebastian Krieter, Thomas Thüm, Sándor P. Fekete",How Low Can We Go? Minimizing Interaction Samples for Configurable Systems,Generation,,ACM Transactions on Software Engineering and Methodology,TOSEM,,,,10.1145/371219
2024,article,"Paolo Arcaini, Ahmet Cetinkaya",CRAG - a combinatorial testing-based generator of road geometries for ADS testing,Application,,Science of Computer Programming,,238,,103171,10.1016/J.SCICO.2024.103171
2024,article,"Carmen Baumann, Yavuz Köroglu, Franz Wotawa",On the Impact of Input Models on the Fault Detection Capabilities of Combinatorial Testing,Evaluation,,SN Computer Science,,5,7,821,10.1007/S42979-024-03134-3
2024,article,"Andrea Bombarda, Angelo Gargantini","Design, implementation, and validation of a benchmark generator for combinatorial interaction testing tools",Generation,,Journal of Systems and Software ,JSS,209,,111920,10.1016/J.JSS.2023.111920
2024,article,"Carlos Ansótegui, Eduard Torres",Effectively computing high strength mixed covering arrays with constraints,Generation,,Journal of Parallel and Distributed Computing,JPDC,185,,104791,10.1016/J.JPDC.2023.104791
2024,inproceedings,"Tobias Heß, Tim Jannik Schmidt, Lukas Ostheimer, Sebastian Krieter, Thomas Thüm",UnWise: High T-Wise Coverage from Uniform Sampling,Generation,,International Working Conference on Variability Modelling of Software-Intensive Systems,VAMOS,,,37-45,10.1145/3634713.3634716
2024,inproceedings,"Pierre Martou, Benoît Duhoux, Kim Mens, Axel Legay",Combinatorial Transition Testing in Dynamically Adaptive Systems,Application,,International Working Conference on Variability Modelling of Software-Intensive Systems,,,,1-10,10.1145/3634713.3634726
2024,inproceedings,"Tobias Pett, Sebastian Krieter, Thomas Thüm, Ina Schaefer",MulTi-Wise Sampling: Trading Uniform T-Wise Feature Interaction Coverage for Smaller Samples,Generation,,International Systems and Software Product Line Conference,SPLC,,,47-53,10.1145/3646548.3672589
2024,inproceedings,"Chuan Luo, Shuangyu Lyu, Qiyuan Zhao, Wei Wu, Hongyu Zhang, Chunming Hu",Beyond Pairwise Testing: Advancing 3-wise Combinatorial Interaction Testing for Highly Configurable Systems,Application,,International Symposium on Software Testing and Analysis,ISSTA,,,641-653,10.1145/3650212.3680309
2024,inproceedings,"Peng Wang, Shengyou Hu, Huayao Wu, Xintao Niu, Changhai Nie, Lin Chen",A Combinatorial Interaction Testing Method for Multi-Label Image Classifier,Application,AI Testing,International Symposium on Software Reliability Engineering,ISSRE,,,463-474,10.1109/ISSRE62328.2024.00051
2024,article,"Manuel Leithner, Andrea Bombarda, Michael Wagner, Angelo Gargantini, Dimitris E. Simos",State of the CArt: evaluating covering array generators at scale,Evaluation,,International Journal on Software Tools for Technology Transfer ,,26,3,301-326,10.1007/S10009-024-00745-2
2024,inproceedings,Tatsuhiro Tsuchiya,Use of binary decision diagrams to handle constraints in combinatorial interaction testing,Generation,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,211-214,10.1109/ICSTW60967.2024.00048
2024,inproceedings,"Andrea Bombarda, Silvia Bonfanti, Angelo Gargantini",Testing the Evolution of Feature Models with Specific Combinatorial Tests,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,1-10,10.1109/ICSTW60967.2024.00025
2024,inproceedings,"Hao Jin, Ce Shi, Tatsuhiro Tsuchiya",Summary of Constrained Detecting Arrays: Mathematical Structures for Fault Identification in Combinatorial Interaction Testing,Diagnosis,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,215-216,10.1109/ICSTW60967.2024.00049
2024,inproceedings,"Florian Klück, Yihao Li, Jianbo Tao, Franz Wotawa",Summary of An empirical comparison of combinatorial testing and search-based testing in the context of automated and autonomous driving systems,Evaluation,AI Testing,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,178-179,10.1109/ICSTW60967.2024.00042
2024,inproceedings,"Dimitris E. Simos, Bernhard Garn, Dominik Schreiber, Manuel Leithner, D. Richard Kuhn, Raghu Kacker",On Combinatorial Security Testing for the Tor Anonymity Network Client,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,207-210,10.1109/ICSTW60967.2024.00047
2024,inproceedings,"Andrea Bombarda, Angelo Gargantini",Integrating Product Sampling and Behavioral Testing for Software Product Lines with Combinatorial Testing,Generation,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,197-206,10.1109/ICSTW60967.2024.00046
2024,inproceedings,"Han-Lin Lu, Zong-Yuan Wu, Chien-Hsing Wu, Guan-Zhong Wang, Shih-Kun Huang",Fuzzing Command-line Interface by Edge Coverage Guided Combinatorial Testing and Input Clustering,Application,,"International Conference on Software Quality, Reliability and Security",QRS,,,516-525,10.1109/QRS62785.2024.00058
2024,inproceedings,"Swaroopa Dola, Rory McDaniel, Matthew B. Dwyer, Mary Lou Soffa",CIT4DNN: Generating Diverse and Rare Inputs for Neural Networks Using Latent Space Combinatorial Testing,Application,AI Testing,International Conference on Software Engineering,ICSE,,,118:1-118:13,10.1145/3597503.3639106
2024,inproceedings,"Léna Bamouh, Erwan Bousse",Towards Model-Driven Test Case Concretization for End-to-end Combinatorial Testing,Application,,International Conference on Model Driven Engineering Languages and Systems,Generation,,,1111-1120,10.1145/3652620.3687823
2024,inproceedings,"Siyuan Wang, Zhiwei Cui, Jie Xu, Baojiang Cui",An Efficient Vulnerability Detection Method for 5G NAS Protocol Based on Combinatorial Testing,Application,,"International Conference on Emerging Internet, Data & Web Technologies",,,,64-74,10.1007/978-3-031-53555-0_7
2024,inproceedings,"Christoph Wech, Reinhard Kugler, Manuel Leithner, Dimitris E. Simos",Combinatorial Testing Methods for Reverse Engineering Undocumented CAN Bus Functionality,Application,,"International Conference on Availability, Reliability and Security",,,,37:1-37:7,10.1145/3664476.3664495
2024,inproceedings,"Sunny Shree, Krishna Khadka, Yu Lei, Raghu N. Kacker, D. Richard Kuhn",Constructing Surrogate Models in Machine Learning Using Combinatorial Testing and Active Learning,Application,AI Testing,International Conference on Automated Software Engineering,ASE,,,1645-1654,10.1145/3691620.3695532
2024,inproceedings,"Markus Fugger, Manuel Leithner, Dimitris E. Simos",Annotation-Based Input Modeling for Combinatorial Testing,Model,,International Conference  on Testing Software and Systems,,,,332-348,10.1007/978-3-031-80889-0_22
2024,article,"Eduard Baranov, Sourav Chakraborty, Axel Legay, Kuldeep S. Meel, N. Variyam Vinodchandran",A Scalable t-Wise Coverage Estimator: Algorithms and Applications,,,IEEE Transactions on Software Engineering ,TSE,50,8,2021-2039,10.1109/TSE.2024.3419919
2024,article,"Eduard Baranov, Sourav Chakraborty, Axel Legay, Kuldeep S. Meel, N. Variyam Vinodchandran",A Scalable t-Wise Coverage Estimator: Algorithms and Applications,Evaluation,,IEEE Transactions on Software Engineering ,TSE,50,8,2021-2039,10.1109/TSE.2024.3419919
2024,inproceedings,"Erin Lanus, Brian Lee, Luis Pol, Daniel Sobien, Justin Kauffman, Laura J. Freeman",Coverage for Identifying Critical Metadata in Machine Learning Operating Envelopes,Application,AI Testing,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,217-226,10.1109/ICSTW60967.2024.00050
2024,inproceedings,"Krishna Khadka, Sunny Shree, Yu Lei, Raghu N. Kacker, D. Richard Kuhn",Assessing the Degree of Feature Interactions that Determine a Model Prediction,Application,AI Testing,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,180-187,10.1109/ICSTW60967.2024.00043
2024,inproceedings,"Michael Wagner, Irene Hiess, Ludwig Kampel, Dimitris E. Simos, Yu Lei",Algorithmic Optimizations for Deriving Minimal Forbidden Tuples,Generation,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,188-192,10.1109/ICSTW60967.2024.00044
2024,inproceedings,"C. M. Hicks Andrew, Deborah Ann Furman, Ryan Thomas Rawlins, Michael Edward Gildein, Eitan Farchi",A Novel Double T-wise Approach to Root Cause Analysis via Combinatorial Test Set Completion,Diagnosis,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,193-196,10.1109/ICSTW60967.2024.00045
2024,inproceedings,"Wenxuan Huang, Changsheng Ma, Ziyuan Wang",The Effect of Variable Strength Combinatorial Coverage for Neurons on Fault Detection in Deep Neural Networks,Application,AI Testing,"IEEE International Conference on Software Quality, Reliability and Security - Companion",QRS-C,,,849-855,10.1109/QRS-C63300.2024.00113
2024,article,"Aminu Aminu Muazu, Ahmad Sobri Hashim, Umar Ismaila Audi, Umar Danjuma Maiwada",Refining a One-Parameter-at-a-Time Approach Using Harmony Search for Optimizing Test Suite Size in Combinatorial T-Way Testing,Generation,,IEEE Access,,12,,137373-137398,10.1109/ACCESS.2024.3463953
2024,article,"Abdullah B. Nasser, Md. Abdul Kader, AbdulRahman A. Al-Sewari, Suliman Mohamed Fati, Nibras Abdullah, Sayawu Yakubu Diaba, Waheb A. Jabbar",CS-FuzGA-PTS: Maximizing Fault Detection Through Optimizing T-Way Test Suite Prioritization Based on Boundary Value Analysis,Optimization,,IEEE Access,,12,,172992-173009,10.1109/ACCESS.2024.3497321
2024,article,"Yasmeen Akhtar, Soumen Maity",Covering Array on the Cartesian Product of Hypergraphs,Generation,,Graphs and Combinatorics,,40,4,87,10.1007/S00373-024-02813-5
2024,article,"Einollah Pira, Mohammad Khodizadeh-Nahari",Combinatorial t-way test suite generation using an improved asexual reproduction optimization algorithm,Generation,,Applied Soft Computing,,150,,111070,10.1016/J.ASOC.2023.111070
2023,article,"Yves Le Traon, Tao Xie",Combinatorial testing and machine learning for automated test generation,Generation,,"Software Testing, Verification and Reliability ",STVR,33,4,,10.1002/STVR.1846
2023,article,"Edmond La Chance, Sylvain Hallé",An investigation of distributed computing for combinatorial testing,Application,,"Software Testing, Verification and Reliability ",STVR,33,4,,10.1002/STVR.1842
2023,article,"Xi Deng, Jiwei Yan, Shixin Zhang, Jun Yan, Jian Zhang",Variable-strength combinatorial testing of exported activities based on misexposure prediction,Application,,Journal of Systems and Software ,JSS,204,,111773,10.1016/J.JSS.2023.111773
2023,article,"Jinfu Chen, Jingyi Chen, Saihua Cai, Haibo Chen, Chi Zhang",A novel combinatorial testing approach with fuzzing strategy,Application,,Journal of Software: Evolution and Process,,35,12,,10.1002/SMR.2537
2023,article,"Aminu Aminu Muazu, Ahmad Sobri Hashim, Aliza Sarlan, Mujaheed Abdullahi",SCIPOG: Seeding and constraint support in IPOG strategy for combinatorial t-way testing to generate optimum test cases,Generation,,Journal of King Saud University - Computer and Information Sciences,,35,1,185-201,10.1016/j.jksuci.2022.11.010
2023,article,"Ryan E. Dougherty, Kristoffer Kleine, Michael Wagner, Charles J. Colbourn, Dimitris E. Simos",Algorithmic methods for covering arrays of higher index,Application,,Journal of Combinatorial Optimization,,45,1,28,10.1007/s10878-022-00947-x
2023,inproceedings,"Chuan Luo, Jianping Song, Qiyuan Zhao, Yibei Li, Shaowei Cai, Chunming Hu",Generating Pairwise Covering Arrays for Highly Configurable Software Systems,Generation,,International Systems and Software Product Line Conference,SPLC,,,261-267,10.1145/3579027.3608998
2023,inproceedings,"Tobias Pett, Tobias Heß, Sebastian Krieter, Thomas Thüm, Ina Schaefer",Continuous T-Wise Coverage,Evaluation,,International Systems and Software Product Line Conference,SPLC,,,87-98,10.1145/3579027.3608980
2023,inproceedings,"Bernhard Garn, Ludwig Kampel, Manuel Leithner, Berina Celic, Ceren Çulha, Irene Hiess, Klaus Kieseberg, Marlene Koelbing, Dominik-Philip Schreiber, Michael Wagner, Christoph Wech, Jovan Zivanovic, Dimitris E. Simos",Applying Pairwise Combinatorial Testing to Large Language Model Testing,Application,AI Testing,International Conference on Testing Software and Systems,,,,247-256,10.1007/978-3-031-43240-8_16
2023,inproceedings,"Krishna Khadka, Jaganmohan Chandrasekaran, Yu Lei, Raghu N. Kacker, D. Richard Kuhn",Synthetic Data Generation Using Combinatorial Testing and Variational Autoencoder,Application,AI Testing,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,228-236,10.1109/ICSTW58534.2023.00048
2023,inproceedings,"Ludwig Kampel, Paris Kitsos, Dimitris E. Simos",Summary of Locating Hardware Trojans using Combinatorial Testing for Cryptographic Circuits,Diagnosis,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,260-262,10.1109/ICSTW58534.2023.00052
2023,inproceedings,"Bernhard Garn, Dominik-Philip Schreiber, Dimitris E. Simos, Rick Kuhn, Jeffrey M. Voas, Raghu Kacker",Summary of Combinatorial methods for testing Internet of Things smart home systems,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,266-267,10.1109/ICSTW58534.2023.00054
2023,inproceedings,"Bernhard Garn, Jovan Zivanovic, Manuel Leithner, Dimitris E. Simos",Summary of Combinatorial Methods for Dynamic Gray-Box SQL Injection Testing,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,263-265,10.1109/ICSTW58534.2023.00053
2023,inproceedings,"Gang Qin, Junjun Zheng, Tatsuhiro Tsuchiya",Meta-Heuristic Algorithm for Constructing Higher-Index Covering Arrays for Combinatorial Interaction Testing,Generation,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,190-196,10.1109/ICSTW58534.2023.00043
2023,inproceedings,"Hanefi Mercan, Cemal Yilmaz",Hints in Unified Combinatorial Interaction Testing,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,223-227,10.1109/ICSTW58534.2023.00047
2023,inproceedings,"Jovan Zivanovic, Manuel Leithner, Dimitris E. Simos, Michael Pitzer, Peter J. Slanina",Combinatorial Methods for HTML Sanitizer Security Testing,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,255-259,10.1109/ICSTW58534.2023.00051
2023,inproceedings,"Simon Diemert, Adam Casey, Jeremiah Robertson",Challenging Autonomy with Combinatorial Testing,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,214-222,10.1109/ICSTW58534.2023.00046
2023,inproceedings,"Pierre Martou, Benoît Duhoux, Kim Mens, Axel Legay",Beyond Combinatorial Interaction Testing: On the need for transition testing in dynamically adaptive context-aware systems,Application,,"International Conference on Software Testing, Verification and Validation",ICST,,,100-104,10.1109/ICSTW58534.2023.00030
2023,inproceedings,Sangharatna Godboley,VeriCombTest: Automated Test Case Generation Technique Using a Combination of Verification and Combinatorial Testing,Application,,International Conference on Evaluation of Novel Approaches to Software Engineering,,,,306-313,10.5220/0011758700003464
2023,inproceedings,"Megan M. Olsen, M. S. Raunak, D. Richard Kuhn",Predicting ABM Results with Covering Arrays and Random Forests,Application,,International Conference on Computational Science,,,,237-252,10.1007/978-3-031-35995-8_17
2023,inproceedings,"Xinyi Wang, Paolo Arcaini, Tao Yue, Shaukat Ali",QuCAT: A Combinatorial Testing Tool for Quantum Software,Application,,International Conference on Automated Software Engineering Workshops,,,,2066-2069,10.1109/ASE56229.2023.00062
2023,inproceedings,"Shixin Zhang, Shanna Li, Xi Deng, Jiwei Yan, Jun Yan",ICTDroid: Parameter-Aware Combinatorial Testing for Components of Android Apps,Application,,International Conference on Automated Software Engineering Workshops,,,,2070-2073,10.1109/ASE56229.2023.00071
2023,inproceedings,"Yavuz Köroglu, Franz Wotawa",Continuous Domain Input Abstraction and Fault Detection Capability in Combinatorial Testing,Application,,International Conference on Automated Software Engineering Workshops,,,,167-170,10.1109/ASEW60602.2023.00027
2023,inproceedings,"Hao Jin, Ce Shi, Tatsuhiro Tsuchiya",Constrained detecting arrays: Mathematical structures for fault identification in combinatorial interaction testing,Diagnosis,,Information and Software Technology,IST,153,,107045,10.1016/j.infsof.2022.107045
2023,article,"Florian Klück, Yihao Li, Jianbo Tao, Franz Wotawa",An empirical comparison of combinatorial testing and search-based testing in the context of automated and autonomous driving systems,Evaluation,,Information a nd Software Technology,IST,160,,107225,10.1016/J.INFSOF.2023.107225
2023,article,"Xu Guo, Xiaoyu Song, Jiantao Zhou, Fei-Yue Wang, Kecheng Tang, Zhuowei Wang",A memetic algorithm for high-strength covering array generation,Generation,,IET Software,,17,4,538-553,10.1049/SFW2.12138
2023,article,"Xu Guo, Xiaoyu Song, Jiantao Zhou, Fei-Yue Wang",A tolerance-based memetic algorithm for constrained covering array generation,Generation,,IEEE Workshop on Memetic Computing ,,15,3,319-340,10.1007/S12293-023-00392-1
2023,article,"Achiya Elyasaf, Eitan Farchi, Oded Margalit, Gera Weiss, Yeshayahu Weiss",Generalized Coverage Criteria for Combinatorial Sequence Testing,Evaluation,,IEEE Transactions on Software Engineering ,TSE,49,8,4023-4034,10.1109/TSE.2023.3279570
2023,article,"Xu Guo, Xiaoyu Song, Jiantao Zhou, Feiyu Wang, Kecheng Tang",An Effective Approach to High Strength Covering Array Generation in Combinatorial Testing,Generation,,IEEE Transactions on Software Engineering ,TSE,49,10,4566-4593,10.1109/TSE.2023.3306461
2023,inproceedings,"Michael Wagner, Charles J. Colbourn, Dimitris E. Simos",Summary of In-Parameter-Order strategies for covering perfect hash families,Generation,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,268-270,10.1109/ICSTW58534.2023.00055
2023,inproceedings,"D. Richard Kuhn, M. S. Raunak, Raghu N. Kacker",Ordered t-way Combinations for Testing State-based Systems,Application,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,246-254,10.1109/ICSTW58534.2023.00050
2023,inproceedings,"Tyler Cody, Laura J. Freeman",Metric Learning Improves the Ability of Combinatorial Coverage Metrics to Anticipate Classification Error,Application,AI Testing,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,206-213,10.1109/ICSTW58534.2023.00045
2023,inproceedings,"Andrea Bombarda, Angelo Gargantini",Incremental generation of combinatorial test suites starting from existing seed tests,Generation,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,197-205,10.1109/ICSTW58534.2023.00044
2023,inproceedings,"Ludwig Kampel, Michael Wagner, Dimitris E. Simos, Mihai Nica, Dino Dodig, David Kaufmann, Franz Wotawa",Applying CT-FLA for AEB Function Testing: A Virtual Driving Case Study,Application,,"IEEE International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,237-245,10.1109/ICSTW58534.2023.00049
2023,article,"Fan Li, Tiancheng Zhang, Shengjia Cui, Hengyu Liu, Zhibin Ren, Donglin Di, Xiao Wang, Po Zhang, Ge Yu",A sampling method based on forecasting and combinatorial optimization for high performance A/B testing,Application,,Frontiers of Computer Science,,17,6,176616,10.1007/S11704-023-3460-7
2023,article,Enrico Iurlano,Growth of the perfect sequence covering array number,Generation,,"Designs, Codes and Cryptography",DCC,91,4,1487-1494,10.1007/S10623-022-01168-3
2023,article,"Jingzhou Na, Jonathan Jedwab, Shuxing Li",A group-based structure for perfect sequence covering arrays,Generation,,"Designs, Codes and Cryptography",DCC,91,3,951-970,10.1007/S10623-022-01132-1
2023,article,"Sai Prathyush Katragadda, Tyler Cody, Peter A. Beling, Laura J. Freeman",Active Learning with Combinatorial Coverage,Application,,Computing Research Repository ,,abs/2302.14567,,,10.48550/ARXIV.2302.14567
2023,inproceedings,"Andrea Bombarda, Angelo Gargantini, Andrea Calvagna",Multi-thread Combinatorial Test Generation with SMT solvers,Generation,,ACM/SIGAPP Symposium on Applied Computing,,,,1698-1705,10.1145/3555776.3577703
2023,inproceedings,"Qiyuan Zhao, Chuan Luo, Shaowei Cai, Wei Wu, Jinkun Lin, Hongyu Zhang, Chunming Hu",CAmpactor: A Novel and Effective Local Search Algorithm for Optimizing Pairwise Covering Arrays,Generation,,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,ESEC/FSE,,,81-93,10.1145/3611643.3616284
2022,phdthesis,Eduard Torres,SAT-Based Combinatorial Testing,Generation,,"University of Lleida, Spain",,,,,
2022,inproceedings,"Marcel Maehren, Philipp Nieting, Sven Hebrok, Robert Merget, Juraj Somorovsky, Jörg Schwenk",TLS-Anvil: Adapting Combinatorial Testing for TLS Libraries,Application,,USENIX Security Symposium,,,,215-232,
2022,inproceedings,"Marcel Maehren, Philipp Nieting, Sven Hebrok, Robert Merget, Juraj Somorovsky, Jörg Schwenk",TLS-Anvil: Adapting Combinatorial Testing for TLS Librarie,Application,,USENIX Security Symposium,USENIX Security,,,,
2022,article,"Robert M. Hierons, Tao Xie",Combinatorial testing and model-based testing,Application,,"Software Testing, Verification and Reliability",STVR ,32,2,,10.1002/stvr.1810
2022,article,"Yves Le Traon, Tao Xie",Combinatorial testing and model checking,Application,,"Software Testing, Verification and Reliability",STVR ,32,6,,10.1002/stvr.1832
2022,article,"Bernhard Garn, Dominik-Philip Schreiber, Dimitris E. Simos, Rick Kuhn, Jeffrey M. Voas, Raghu Kacker",Combinatorial methods for testing Internet of Things smart home systems,Application,,"Software Testing, Verification and Reliability",STVR ,32,2,,10.1002/stvr.1805
2022,article,"Bernhard Garn, Jovan Zivanovic, Manuel Leithner, Dimitris E. Simos",Combinatorial methods for dynamic gray-box SQL injection testing,Application,,"Software Testing, Verification and Reliability",STVR ,32,6,,10.1002/stvr.1826
2022,article,"Chi-Lun Chiang, Chin-Yu Huang, Chang-Yu Chiu, Kai-Wen Chen, Chen-Hua Lee",Analysis and assessment of weighted combinatorial criterion for test suite reduction,Optimization,,Quality and Reliability Engineering International,,38,1,358-388,10.1002/QRE.2984
2022,article,"Hiroshi Ukai, Xiao Qu, Hironori Washizaki, Yoshiaki Fukazawa",Accelerating covering array generation by combinatorial join for industry scale software testing,Generation,,PeerJ Computer Science,,,,,10.7717/peerj-cs.720
2022,article,"Ludwig Kampel, Michael Wagner, Ilias S. Kotsireas, Dimitris E. Simos",A primer on the application of neural networks to covering array generation,Generation,,Optimization Methods and Software,,37,3,1165-1202,10.1080/10556788.2021.1907384
2022,article,"Hanefi Mercan, Atakan Aytar, Giray Coskun, Dilara Müstecep, Gülsüm Uzer, Cemal Yilmaz",CIT-daily: A combinatorial interaction testing-based daily build process,Diagnosis,,Journal of Systems and Software,JSS,190,,111353,10.1016/j.jss.2022.111353
2022,article,"Khin Maung Htay, Rozmie Razif Othman, Amiza Amir, Jalal Mohammed Hachim Alkanaani",Gravitational search algorithm based strategy for combinatorial t-way test suite generation,Generation,,Journal of King Saud University - Computer and Information Sciences,,34,8 Part A,4860-4873,10.1016/J.JKSUCI.2021.06.020
2022,article,"Carlos Ansótegui, Felip Manyà, Jesus Ojeda, Josep M. Salvia, Eduard Torres",Incomplete MaxSAT approaches for combinatorial testing,Generation,,Journal of Heuristics,,28,4,377–431,10.1007/s10732-022-09495-3
2022,article,"Abdul Rahman A. Alsewari, Robin Poston, Kamal Z. Zamli, Mohammed Balfaqih, Khalid S. Aloufi",Combinatorial test list generation based on Harmony Search Algorithm,Generation,,Journal of Ambient Intelligence and Humanized Computing,,13,7,3361-3377,10.1007/S12652-020-01696-7
2022,inproceedings,"Silvia P. Boumova, Peter G. Boyvalenkov, Maya Stoyanova",Bounds for the Minimum Distance and Covering Radius of Orthogonal Arrays Via Their Distance Distributions,Generation,,International Workshop on Signal Design and Its Applications in Communications,,,,1-5,10.1109/IWSDA50346.2022.9870612
2022,inproceedings,"Irene Hiess, Ludwig Kampel, Michael Wagner, Dimitris E. Simos",IPO-MAXSAT: The In-Parameter-Order Strategy combined with MaxSAT solving for Covering Array Generation,Generation,,International Symposium on Symbolic and Numeric Algorithms for Scientific Computing,,,,71-79,10.1109/SYNASC57785.2022.00021
2022,inproceedings,"Takashi Kitamura, Zhenjiang Zhao, Takahisa Toda",Applying Combinatorial Testing to Verification-Based Fairness Testing,Application,,International Symposium on Search-Based Software Engineering,SSBSE,,,101-107,10.1007/978-3-031-21251-2_7
2022,inproceedings,"Xiao-Nan Lu, Masakazu Jimbo",Error-Correcting Locating Arrays for Interaction Fault Location in Combinatorial Testing,Generation,,International Symposium on Information Theory,,,,1094-1099,10.1109/ISIT50566.2022.9834368
2022,inproceedings,"Irene Hiess, Ludwig Kampel, Michael Wagner, Dimitris E. Simos",IPO-MAXSAT: Combining the In-Parameter-Order Strategy for Covering Array Generation with MaxSAT Solving (Extended Abstract),Generation,,International Symposium on Combinatorial Search,,15,1,,10.1609/socs.v15i1.21788
2022,inproceedings,"Giray Coskun, Cankut Coskun, Hanefi Mercan, Cemal Yilmaz",Using Unified Combinatorial Interaction Testing for MC/DC Coverage,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,57-62,10.1109/ICSTW55395.2022.00023
2022,article,"Tyler Cody, Erin Lanus, Daniel D. Doyle, Laura J. Freeman",Systematic Training and Testing for Machine Learning Using Combinatorial Interaction Testing,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,102-109,10.1109/ICSTW55395.2022.00031
2022,inproceedings,"Naoko Okubo, Shoma Takatsuki, Yasushi Ueda","Experience of Combinatorial Testing toward Fault Detection, Isolation and Recovery Functionality",Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,68-71,10.1109/ICSTW55395.2022.00025
2022,inproceedings,"Manuel Leithner, Dimitris E. Simos",CA2: Practical Archival and Compression of Covering Arrays,Optimization,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,63-67,10.1109/ICSTW55395.2022.00024
2022,inproceedings,"Rui Huang, Chang Rao, Yu Lei, Jin Guo, Yadong Zhang",Applying Combinatorial Testing to High-Speed Railway Automatic Train Protection System,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,49-56,10.1109/ICSTW55395.2022.00022
2022,inproceedings,"Yan Wang, Huayao Wu, Xintao Niu, Changhai Nie, Jiaxi Xu",A Constrained Covering Array Generator using Adaptive Penalty based Parallel Tabu Search,Generation,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,82-86,10.1109/ICSTW55395.2022.00028
2022,inproceedings,"Ankita Ramjibhai Patel, Jaganmohan Chandrasekaran, Yu Lei, Raghu N. Kacker, D. Richard Kuhn",A Combinatorial Approach to Fairness Testing of Machine Learning Models,Application,,"International Conference on Software Testing, Verification and Validation Workshops",ICSTW,,,94-101,10.1109/ICSTW55395.2022.00030
2022,inproceedings,"Huayao Wu, Lixin Xu, Xintao Niu, Changhai Nie",Combinatorial Testing of RESTful APIs,Application,,International Conference on Software Engineering,ICSE,,,426-437,10.1145/3510003.3510151
